,address,name_x,distance_sch,name_y,distance_hawker,name_x,distance_cbd,name_y,distance_mrt
67,649 PUNGGOL CTRL,GREENDALE PRIMARY SCHOOL,0.29913760932964234 km,530209,5.302331150094035 km,city hall mrt,13.458449298776676 km,KADALOOR LRT STATION,0.31136276996257684 km
68,812 YISHUN RING RD,PEIYING PRIMARY SCHOOL,0.19846447192588185 km,760105,1.6769184947485452 km,city hall mrt,13.917776345903635 km,KHATIB MRT STATION,0.09187776114792552 km
69,3B UPP BOON KENG RD,GEYLANG METHODIST SCHOOL (SECONDARY),1.1553106695769328 km,380017,0.15677492195783607 km,city hall mrt,3.264158823712182 km,KALLANG MRT STATION,0.3501876312989411 km
70,315B YISHUN AVE 9,YISHUN TOWN SECONDARY SCHOOL,0.499406812187973 km,760105,1.6083268483657494 km,city hall mrt,15.409667244553946 km,YISHUN MRT STATION,0.885202968397603 km
71,139 POTONG PASIR AVE 3,ST. ANDREW'S JUNIOR SCHOOL,0.234842594574252 km,310022,1.0398735008766216 km,city hall mrt,4.707669437316233 km,POTONG PASIR MRT STATION,0.38825786950469254 km
72,202 CHOA CHU KANG AVE 1,CHUA CHU KANG SECONDARY SCHOOL,0.3074630015355738 km,600254,4.436683603983785 km,city hall mrt,15.110782451455128 km,KEAT HONG LRT STATION,0.360178910274353 km
73,106 BT PURMEI RD,RADIN MAS PRIMARY SCHOOL,0.2702375610819563 km,90036,0.4027032662967179 km,city hall mrt,3.7238055369255734 km,HARBOURFRONT MRT STATION,0.9525372959055068 km
74,479 SEGAR RD,BEACON PRIMARY SCHOOL,0.6388441528979527 km,738937,5.470492058324016 km,city hall mrt,13.906299851980162 km,SEGAR LRT STATION,0.4021855184992856 km
75,100 BEDOK NTH AVE 4,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.24845821550098912 km,460085,0.26163202266852453 km,city hall mrt,10.655247578522395 km,BEDOK RESERVOIR MRT STATION,0.7993256330178364 km
76,612 ANG MO KIO AVE 4,YIO CHU KANG SECONDARY SCHOOL,0.4065994413790522 km,560628,0.322010051702062 km,city hall mrt,9.63278132686821 km,YIO CHU KANG MRT STATION,0.7727843663706278 km
77,806 YISHUN RING RD,PEIYING PRIMARY SCHOOL,0.07727347091810947 km,760105,1.6373152157189552 km,city hall mrt,13.949028832233648 km,KHATIB MRT STATION,0.20872094499847174 km
78,35 TEBAN GDNS RD,COMMONWEALTH SECONDARY SCHOOL,0.33527317265417855 km,601037,0.14184080440199398 km,city hall mrt,12.584371972215756 km,JURONG EAST MRT STATION,1.5042830092785973 km
79,895C WOODLANDS DR 50,WOODLANDS PRIMARY SCHOOL,0.15086870962249188 km,730021,1.936386659959846 km,city hall mrt,17.136169417432935 km,WOODLANDS MRT STATION,0.5204216291186844 km
80,456 SEGAR RD,GREENRIDGE PRIMARY SCHOOL,0.3469433883673363 km,588215,5.3538132615112355 km,city hall mrt,13.892786600718336 km,SEGAR LRT STATION,0.09520136616330746 km
81,415 C'WEALTH AVE WEST,NEW TOWN SECONDARY SCHOOL,0.22319058963752644 km,120353,0.3842447034012106 km,city hall mrt,9.232961125928863 km,DOVER MRT STATION,0.7878585946664644 km
82,1F CANTONMENT RD,CANTONMENT PRIMARY SCHOOL,0.14814972023527595 km,81006,0.23052622091307903 km,city hall mrt,2.262873080918685 km,OUTRAM PARK MRT STATION,0.45488751258901233 km
83,539 BT BATOK ST 52,HILLGROVE SECONDARY SCHOOL,0.32411376702621525 km,600254,1.9223626241247946 km,city hall mrt,13.222816022709468 km,BUKIT GOMBAK MRT STATION,0.4565933839557288 km
84,606 BEDOK RESERVOIR RD,TELOK KURAU PRIMARY SCHOOL,0.31953686995076935 km,470630,0.17688273726225778 km,city hall mrt,8.020781933938247 km,BEDOK NORTH MRT STATION,0.6044472604357061 km
85,4 TOH YI DR,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.1782798230895433 km,588215,0.1907993438125367 km,city hall mrt,10.03894903171437 km,BEAUTY WORLD MRT STATION,0.3300264007715218 km
86,163 YUNG PING RD,JURONG SECONDARY SCHOOL,0.15441815420835356 km,618499,0.5245069208959202 km,city hall mrt,15.040252207359297 km,LAKESIDE MRT STATION,1.5826209639855227 km
87,274A JURONG WEST AVE 3,WESTWOOD SECONDARY SCHOOL,0.2608673362406391 km,642221,1.2759676141009686 km,city hall mrt,17.83082922947018 km,BOON LAY MRT STATION,1.5358798667087425 km
88,230E TAMPINES ST 24,GONGSHANG PRIMARY SCHOOL,0.24936198385548233 km,521137,1.383642251067641 km,city hall mrt,12.993692929114408 km,TAMPINES EAST MRT STATION,0.3957929709569058 km
89,635 BEDOK RESERVOIR RD,MAHA BODHI SCHOOL,0.467391406279034 km,470630,1.0619605894600161 km,city hall mrt,7.161580247057849 km,KAKI BUKIT MRT STATION,0.6176721884269537 km
90,291 TAMPINES ST 22,ANGSANA PRIMARY SCHOOL,0.4091301341739127 km,521137,1.2819650296136045 km,city hall mrt,13.046621546923816 km,TAMPINES EAST MRT STATION,0.6851973889221914 km
91,250 CHOA CHU KANG AVE 2,SOUTH VIEW PRIMARY SCHOOL,0.27970550781091974 km,600347,4.04430035392109 km,city hall mrt,15.283929356685588 km,SOUTH VIEW LRT STATION,0.10952236440977511 km
92,352B CANBERRA RD,WELLINGTON PRIMARY SCHOOL,0.3299259973525325 km,760105,2.2525998410477177 km,city hall mrt,17.778399819481358 km,SEMBAWANG MRT STATION,0.14048127848867234 km
93,529 HOUGANG AVE 6,MONTFORT JUNIOR SCHOOL,0.24104353329992895 km,530209,1.8849792953159945 km,city hall mrt,10.064986954310516 km,HOUGANG MRT STATION,0.4963479181955049 km
94,311 TAMPINES ST 33,NGEE ANN SECONDARY SCHOOL,0.15040717983853868 km,521137,1.6733167793951111 km,city hall mrt,13.443054944488143 km,TAMPINES EAST MRT STATION,0.44880489542235835 km
95,501A WELLINGTON CIRCLE,WELLINGTON PRIMARY SCHOOL,0.17019573923367537 km,760105,2.3625143857178488 km,city hall mrt,17.91597646652977 km,SEMBAWANG MRT STATION,0.3114067727902107 km
96,403 SERANGOON AVE 1,ST. GABRIEL'S SECONDARY SCHOOL,0.369022770259752 km,555945,1.930438844590534 km,city hall mrt,6.32187015598811 km,SERANGOON MRT STATION,0.37590648505398117 km
97,394 YISHUN AVE 6,NORTH VIEW PRIMARY SCHOOL,0.14926352089944736 km,760105,2.2531594176487544 km,city hall mrt,15.039182404672658 km,YISHUN MRT STATION,1.4656588449646715 km
98,383 TAMPINES ST 32,NGEE ANN SECONDARY SCHOOL,0.17418249169656436 km,521137,1.7983731651656554 km,city hall mrt,13.567048712983118 km,TAMPINES EAST MRT STATION,0.469107190529124 km
99,333 WOODLANDS ST 32,FUCHUN PRIMARY SCHOOL,0.2161907520773961 km,738937,1.5297017213846693 km,city hall mrt,17.15125472104504 km,MARSILING MRT STATION,0.7246587874279603 km
100,602 SENJA RD,WEST VIEW PRIMARY SCHOOL,0.37370645141152614 km,588215,4.869622358713097 km,city hall mrt,13.989350035371817 km,SENJA LRT STATION,0.14620964026258862 km
101,117 YISHUN RING RD,AHMAD IBRAHIM SECONDARY SCHOOL,0.23148188327155517 km,760105,0.42715633754836024 km,city hall mrt,16.01176425719817 km,CANBERRA MRT STATION,0.8630931487037067 km
102,88 BEDOK NTH ST 4,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.29472357090206286 km,460085,0.13047768338206955 km,city hall mrt,10.605746625137021 km,BEDOK RESERVOIR MRT STATION,0.8589627539615247 km
103,337 ANG MO KIO AVE 1,TECK GHEE PRIMARY SCHOOL,0.27449896089213965 km,560341,0.4014079830571089 km,city hall mrt,7.769610977275016 km,ANG MO KIO MRT STATION,0.7795684478154207 km
104,108 BEDOK RESERVOIR RD,TELOK KURAU PRIMARY SCHOOL,0.1942736343552836 km,470630,0.603949738108523 km,city hall mrt,7.54767933156619 km,KAKI BUKIT MRT STATION,0.5341290511813714 km
105,113 BEDOK RESERVOIR RD,TELOK KURAU PRIMARY SCHOOL,0.12051128588208944 km,470630,0.490052140595473 km,city hall mrt,7.66251681335927 km,KAKI BUKIT MRT STATION,0.6113484896798429 km
106,16 MARINE TER,TAO NAN SCHOOL,0.29479144294612636 km,441050,0.24113144653574856 km,city hall mrt,6.955412078090497 km,KEMBANGAN MRT STATION,1.8470462174415123 km
107,326A ANCHORVALE RD,SPRINGDALE PRIMARY SCHOOL,0.2160398466800859 km,530209,3.9678430172682417 km,city hall mrt,11.945079378236356 km,FARMWAY LRT STATION,0.28771103185330976 km
108,61 TELOK BLANGAH HTS,BLANGAH RISE PRIMARY SCHOOL,0.3788018774502052 km,100082,0.4991367325547825 km,city hall mrt,4.90155448093359 km,TELOK BLANGAH MRT STATION,0.6022109996616951 km
109,114 SIMEI ST 1,CHANGKAT PRIMARY SCHOOL,0.4397923962741753 km,521137,0.6679941679457605 km,city hall mrt,12.25903947291605 km,SIMEI MRT STATION,0.3306814047950523 km
110,167 BEDOK STH AVE 3,TEMASEK PRIMARY SCHOOL,0.22477983189876474 km,461058,0.6610585499917511 km,city hall mrt,10.696601079345943 km,TANAH MERAH MRT STATION,0.8479911033083103 km
111,909 TAMPINES AVE 4,ST. HILDA'S PRIMARY SCHOOL,0.19013553696736618 km,521137,0.78885966093247 km,city hall mrt,11.552077872059389 km,TAMPINES WEST MRT STATION,0.5295272847787332 km
112,11 JLN BT MERAH,BUKIT MERAH SECONDARY SCHOOL,0.5085788355984704 km,150006,0.09699791954101071 km,city hall mrt,4.904740835595046 km,REDHILL MRT STATION,0.9329826549791489 km
113,215 BOON LAY PL,CORPORATION PRIMARY SCHOOL,0.5888785264641495 km,642221,0.3332570942285894 km,city hall mrt,16.779079083809783 km,LAKESIDE MRT STATION,1.0769286690039783 km
114,637 PASIR RIS DR 1,PARK VIEW PRIMARY SCHOOL,0.10843212273922392 km,521137,3.5061676090761678 km,city hall mrt,13.463982727360813 km,PASIR RIS MRT STATION,1.0779808862897073 km
115,429 ANG MO KIO AVE 3,DEYI SECONDARY SCHOOL,0.3555616516470785 km,561453,0.3401847820530379 km,city hall mrt,8.421093085362083 km,ANG MO KIO MRT STATION,0.4404521606825799 km
116,412 CHOA CHU KANG AVE 3,SOUTH VIEW PRIMARY SCHOOL,0.4336719505096025 km,600347,4.19595797152611 km,city hall mrt,15.715950410026576 km,SOUTH VIEW LRT STATION,0.36697472068737197 km
117,426 CHOA CHU KANG AVE 4,BUKIT PANJANG GOVT. HIGH SCHOOL,0.2123093342262218 km,600347,3.972670398049658 km,city hall mrt,15.904562180256045 km,SOUTH VIEW LRT STATION,0.6774453681506433 km
118,293B COMPASSVALE CRES,COMPASSVALE PRIMARY SCHOOL,0.3466730409512171 km,530209,4.335189214915222 km,city hall mrt,12.478956004213847 km,CHENG LIM LRT STATION,0.2589571561407258 km
119,48 CIRCUIT RD,CANOSSA CATHOLIC PRIMARY SCHOOL,0.4046443291757816 km,371079,0.08207379475389277 km,city hall mrt,5.141500279734615 km,MATTAR MRT STATION,0.31406806919475433 km
120,887 TAMPINES ST 81,SPRINGFIELD SECONDARY SCHOOL,0.19787608755628344 km,521137,1.5247517364870096 km,city hall mrt,10.879825027920154 km,TAMPINES WEST MRT STATION,0.9080685304022765 km
121,57 CHAI CHEE DR,PING YI SECONDARY SCHOOL,0.12806156505240882 km,460538,0.8312703841825767 km,city hall mrt,8.373692830083467 km,KEMBANGAN MRT STATION,0.9836236749872507 km
